Design,Bushing IDs,SKU Count,SKUs,Category,Drill Size(s),Tube Length(s)
30 Caliber Bolt Action Bullet Cartridge Pen Kit,PKCP3000BU,6,PKCP8000;PKCP8010;PKCP8020;PKCP8030;PKCP8040;PKCP8050,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
30 Caliber Bolt Action Bullet Cartridge Pencil Kit,PKCP3000BU,4,PKCP8100;PKCP8110;PKCP8120;PKCP8140,Bolt Action Pen Kits,3/8in,"Tube / Barrel 1-31/32"""
30 Caliber Bolt Action Pen Kit,PKCP3000BU,1,PKCP8060,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
4 Princess Twist Pen Kit Sampler Set,PKPRPENBU,1,PKPRPEN98,Princess Pen Kits,10mm;8mm,"Lower Tube 2.465"";Upper Tube 1.496"""
50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit,PK50CALBU,1,PK50CAL,Bullet Cartridge Pen Kits,7mm,NOT FOUND
50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit with Parker Style Refill,PK50CALPBU,1,PK50CALP,Bullet Cartridge Pen Kits,8mm,Tube / Barrel 2.875”
50 Caliber Machine Gun Cartridge Ball Point Flip Pen Kit,PK50RBU,1,PK50BPX,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
50 Caliber Machine Gun Cartridge Rollerball Flip Pen Kit,PK50RBU,1,PK50RBX,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
American Beauty Twist Pen Kit,PKABBU,4,PKABCH;PKABGM;PKABSC;PKABSGM,American Beauty Pen Kits,3/8in,Tube 3”
American Patriot Rollerball Pen Kit,PKPPRBBU,1,PKPPRBCH,American Patriot Pen Kits,10.5mm,"Upper Tube 1.17"";Lower Tube 2.08"""
American Patriot Twist Pen Kit,PKPPENBU,3,PKPPENAB;PKPPENAP;PKPPENCH,American Patriot Pen Kits,3/8in,Lower Tube / Barrel 1.63”;Upper Tube / Barrel 1.260”
Anvil EDC Click Pen Kit,PKANVBU,5,PKANVAL;PKANVBKAL;PKANVBR;PKANVGM;PKANVST,Anvil EDC Pen Kits,8mm,Tube 2.647”
Aromatherapy Twist Pen Kit,PKPUTBU,1,PKATHPSC,Aromatherapy Pen Kits,10mm,Lower Tube 1.83”;Upper Tube 1.93”
Astra Twist Pen Kit,PKASTRABU,5,PKASTRAAB;PKASTRAAP;PKASTRACH;PKASTRAGD;PKASTRAGM,Astra Pen Kits,3/8in,Tube 3.190”
Bald Eagle Insignia Flag Bolt Action Pen Kit,PKCP3000BU,3,PKCP8AEAB;PKCP8AEAC;PKCP8AEAP,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Big Ben and Two Tone Cigar Pen Kit,PKBIG-BU,2,PKBIGTTA;PKBIGTTB,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
Big Ben Brushed Satin Twist Pen Kit,PKBIG-BU,1,PKBIGS,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
Big Ben EDC and Click Pen Kit,PKBIGEDCBU,2,PKBIGEDCGC;PKBIGEDCGG,Big Ben Cigar Pen Kits,10mm,"Tube 3.071"""
Big Ben EDC Click Pen Kit,PKBIGEDCBU,2,PKBIGEDCCH;PKBIGEDCGM,Big Ben Cigar Pen Kits,10mm,Tube 3.071”
Big Ben Twist Pen Kit,PKBIG-BU,5,PKBIG;PKBIGAB;PKBIGAC;PKBIGGM;PKBIGP,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
Bird Twist Pen Kit,PKFEDBU,4,PKBIRD24;PKBIRDAB;PKBIRDCH;PKBIRDSG,Bird Pen Kits,3/8in,Tube 2.272”
Bolt Action Ceramic Flag and Pen Kit,PKCP3000BU,1,PKCP80CB24,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
"Bolt Action Ceramic Red, White and Blue Flag and Pen Kit",PKCP3000BU,3,PKCP80CBK;PKCP80CCH;PKCP80CGM,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Bolt Action Ceramic Woodland Camouflage Pen Kit,PKCP3000BU,1,PKCP80CWD,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Bolt Action Tec-Pen Kit,PKTPENBU,4,PKTPEN24;PKTPENAB;PKTPENCH;PKTPENGM,Bolt Action Pen Kits,8mm,Tube / Barrel 2.50”
Botanical Twist Pen Kit,PKCTRBU,1,PKBOTANAB,Botanical Pen Kits,3/8in,Tube 2.127”
Breast Cancer Awareness with Pink Crystals Twist Pen Kit,PKBCPBU,2,PKBCPCH;PKBCPRG,Breast Cancer Awareness Pen Kits,3/8in;8mm,Lower Tube / Barrel 2-7/16”;Upper Tube / Barrel 1-3/4”
Broadwell Art Deco TN and Ball Point Pen Kit,PKMAJSQBU,1,PKART5B,Broadwell Art Deco Pen Kits,3/8in,NOT FOUND
Broadwell Nouveau Sceptre and Fountain Pen Kit,PKDBBUA,2,PKDBFBT;PKDBFP,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Upper Tube 1-11/16"";Lower Tube 2-3/32"""
Broadwell Nouveau Sceptre and Rollerball Pen Kit,PKDBBUA,3,PKDBRCH;PKDBRGM;PKDBRP,Broadwell Nouveau Sceptre Pen Kits,10.5mm;12.5mm,"Lower Tube 2-3/32"""
Cameron Rollerball Pen Kit,PKCMRBU,1,PKCMRCH,Cameron Pen Kits,10.5mm;12.5mm,Upper Tube 1.830”;Lower Tube 2.089”
Cat Oil Rubbed Twist Pen Kit,PKSHAKEBU,1,PKCATORB,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
Cat Twist Pen Kit,PKSHAKEBU,4,PKCAT24;PKCATAB;PKCATAP;PKCATCH,Cat Pen Kits,10mm,Lower Tube 1.976”;Upper Tube 1.617”
Celtic Twist Pen,PKGAFBU,3,PKCPEN24;PKCPENAB;PKCPENAP,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
Celtic Twist Pen Kit,PKGAFBU,1,PKCPENAC,Celtic Pen Kits,3/8in,Tube / Barrel 2.99”
Chalk Holder Kit,PKCKBU,1,PKCKCH,Specialty Pen Kits,12.5mm,"Tube 2.96"""
Chic-Line V2 Twist Pen Kit,PKM-BUSH3,4,PKSLX242;PKSLXCH2;PKSLXGM2;PKSLXRG2,Chic-Line Pen Kits,7mm,Tube 2-1/32”
Civil War Pen Kit,PKCWPENBU,2,PKCWPENC;PKCWPENGM,Bullet Cartridge Pen Kits,3/8in,"Tube 2-7/8"""
Clarion Demonstrator Fountain Pen Kit,PKCLFPBU,3,PKCLFP24;PKCLFPCH;PKCLFPGM,Clarion Demonstrator Pen Kits,12.5mm,"Tube 1.90"""
Classic Twist Pen Kit,PKPARK-BU,2,PKPARK-C;PKPARK-G,Classic Pen Kits,8mm,Tube 2”
Comfort Brushed Satin Twist Pen Kit,PKCFBUSH,1,PKCFPENS,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Comfort Nitride Twist Pen Kit,PKCFBUSH,1,PKCFPENTN,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Comfort Pencil Kit,PKCFBUSH,1,PKCFPCL,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Comfort Twist Pen Kit,PKCFBUSH,6,PKCFPEN;PKCFPENAB;PKCFPENB;PKCFPENBT;PKCFPENP;PKCFPENRG,Comfort Pen Kits,7mm,"Lower Tube 2-1/32"";Upper Tube 2.03"""
Compson Click Pen Kit,PKJPENBU,2,PKJPENBT;PKJPENCH,Compson Pen Kits,3/8in,"Tube 2.915"""
Compson T/N Click Pen Kit,PKJPENBU,1,PKJPENGT,Compson Pen Kits,3/8in,"Tube 2.915"""
Concava Twist Pen Kit,PKCONBU,4,PKCON24;PKCONBE;PKCONCH;PKCONGM,Concava Pen Kits,7mm,Lower Tube / Barrel 2-1/4”;Upper Tube / Barrel 1-11/16”
Cortona and Twist Pen Kit,PKCORBU,1,PKCORP24CH,Cortona Pen Kits,8mm,Tube 2.99”
Cortona Twist Pen Kit,PKCORBU,3,PKCORP24;PKCORPCH;PKCORPGM,Cortona Pen Kits,8mm,Tube 2.99”
Cowboy Twist Pen Kit,PKWESTBU,2,PKWESTAC;PKWESTAP,Cowboy Pen Kits,8mm,"Lower Tube 1.42"";Upper Tube 1.7"""
Credit Card Brushed Satin Twist Pen Kit,PKM-BUSH3,1,PKCCP,Specialty Pen Kits,7mm,"Tube 1-1/2"""
Credit Card Twist Pen Kit,PKM-BUSH3,2,PKCCP24;PKCCPC,Specialty Pen Kits,7mm,"Tube 1-1/2"""
Crown Jewel Twist Pen Kit,PKNICK-BU,2,PKRYL24;PKRYLCH,Crown Jewel Pen Kits,11/32in,Tube / Barrel 3-1/8”
Deer Hunter Bolt Action Pen Kit,PKCP3000BU,3,PKCP8DHAB;PKCP8DHAC;PKCP8DHAP,Bolt Action Pen Kits,3/8in,Tube / Barrel 1-31/32”
Deluxe Sketch Pen and Pencil Combo Kit,PKSPCL2BU,2,PKSPCL2BT;PKSPCL2C,Workshop Sketch Pen &amp; Pencil Kits,11mm,"Tube 2-11/16"""
Designer Brushed Satin NT Twist Pen Kit,PKMONT2-BU,1,PKMONT2S,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
Designer NT Twist Pen Kit,PKMONT2-BU,3,PKMONT224;PKMONT2C;PKMONT2GM,Designer Pen Kits,7mm,"Upper Tube 2 1/32"";Lower Tube 2 3/8"""
Designer Twist Pen Kit,PKMONTBUY,1,PKMONT,Designer Pen Kits,7mm,"Upper Tube 2-1/8"";Lower Tube 2-3/8"""
Devin and Click Pen Kit,PK10-BUSH3,1,PKDVN24GM,Devin Pen Kits,10mm,Tube 5-1/2”
Devin Click Pen Kit,PK10-BUSH3,3,PKDVN24;PKDVNCH;PKDVNGM,Devin Pen Kits,10mm,Tube 5-1/2”
Diva Charm Aurora Borealis Pen Kit and T/N,PKCHPENBU,1,PKCHPEN7,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
Diva Charm Clear Crystals Pen Kit TN and,PKCHPENBU,1,PKCHPEN1,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
Diva Charm Ruby Red Crystals Pen Kit TN and,PKCHPENBU,1,PKCHPEN2,Diva Charm Pen Kits,3/8in,"Tube 2 1/8"""
Dog Click Pen Kit,PKMAJSQBU,4,PKDOG24;PKDOGAB;PKDOGAP;PKDOGCH,Dog Pen Kits,3/8in,Tube / Barrel 3.310”
Dragon Twist Pen Kit,PKDRABU,3,PKDRAAB;PKDRAAC;PKDRAAP,Dragon Pen Kits,3/8in,"Front Tube 1.45"";Upper Tube 1.65"""
Duchess 2-Tone and Twist Pen Kit,PKCFBUSH,1,PKDU24CH,Duchess Pen Kits,7mm,Tube 2-7/16”
Duchess Twist Pen Kit,PKCFBUSH,2,PKDU24;PKDUCH,Duchess Pen Kits,7mm,Tube 2-7/16”
DuraClick 303 Pencil Kit,PKSPCL3BU,1,PKEDCDPLST,Duraclick EDC Pen Kits,8mm,"Tube 2-25/32"""
DuraClick 6061-T6 Pencil Kit,PKSPCL3BU,2,PKEDCDPLAL;PKEDCDPLBA,Duraclick EDC Pen Kits,8mm,"Tube 2-25/32"""
DuraClick Burnt Anodized 6061-T6 Pencil Kit,PKSPCL3BU,1,PKEDCDPLBB,Duraclick EDC Pen Kits,8mm,"Tube 2-25/32"""
DuraClick C3604 Pencil Kit,PKSPCL3BU,1,PKEDCDPLBR,Duraclick EDC Pen Kits,8mm,"Tube 2-25/32"""
DuraClick EDC Pen Kit,PKSPCL3BU,5,PKEDCDAL;PKEDCDBAL;PKEDCDBR;PKEDCDGM;PKEDCDST,Duraclick EDC Pen Kits,8mm,Tube 2.769”
DuraClick EDC Pen Kit 6061-T6 Burnt,PKSPCL3BU,1,PKEDCDBB,Duraclick EDC Pen Kits,8mm,Tube 2.769”
DuraClick EDC Pencil Kit,PKSPCL3BU,1,PKEDCDPLGM,Duraclick EDC Pen Kits,8mm,"Tube 2-25/32"""
DuraClick Slim 303 EDC Pen Kit,PKDUSLIMBU,1,PKDUSLIMST,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
DuraClick Slim 6061-T6 EDC Pen Kit,PKDUSLIMBU,1,PKDUSLIMBK,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
DuraClick Slim EDC Pen Kit,PKDUSLIMBU,3,PKDUSLIM24;PKDUSLIMCH;PKDUSLIMGM,Duraclick EDC Pen Kits,7mm,"Upper Tube 1.654"";Lower Tube 2.036"""
