Kit ID,Title,Bushing IDs,Category,Drill Size(s),Tube Length(s)
PK30M,Mini 30 Caliber Bullet Cartridge Twist Pen,PKM-BUSH3,Bullet Cartridge Pen Kits,7mm,Tube / Barrel 7/8”
PK10-RP2,Traditional 24kt Gold Rollerball Pen Kit,PK10-BUSH3,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
PK10-FP2,Traditional Gold Fountain Pen Kit,PK10-BUSH3,Traditional Pen Kits,10mm,"Upper Tube 2-3/16"";Lower Tube 2-3/16"""
PK50CALP,50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit with Parker Style Refill,PK50CALPBU,Bullet Cartridge Pen Kits,8mm,Tube / Barrel 2.875”
PK50CAL,50 Caliber Machine Gun Bullet Cartridge Twist Pen Kit,PK50CALBU,Bullet Cartridge Pen Kits,7mm,NOT FOUND
PK50RBX,50 Caliber Machine Gun Cartridge Rollerball Flip Pen Kit,PK50RBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
PK50BPX,50 Caliber Machine Gun Cartridge Ball Point Flip Pen Kit,PK50RBU,Bullet Cartridge Pen Kits,3/8in,"Tube 2.120"""
PKA100,Knights Armor Twist Pen in Antique Pewter,PKMAJSQBU,Knights Armor Pen Kits,3/8in,Tube / Barrel 2.72”
PKA110,Knights Armor Twist Pen in Antique Brass,PKMAJSQBU,Knights Armor Pen Kits,3/8in,Tube / Barrel 2.72”
PKABCH,American Beauty Chrome Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABSC,American Beauty Satin Chrome Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABSGM,American Beauty Satin Gun Metal Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKABGM,American Beauty Gun Metal Twist Pen Kit,PKABBU,American Beauty Pen Kits,3/8in,Tube 3”
PKANVAL,Anvil EDC Click Pen Kit in 6061-T6 Aluminum,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVBKAL,Anvil EDC Click Pen Kit in 6061-T6 Black Anodized Aluminum,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVBR,Anvil EDC Click Pen Kit in C3604 Brass,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVGM,Anvil EDC Click Pen Kit in Gun Metal,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKANVST,Anvil EDC Click Pen Kit in 303 Stainless Steel,PKANVBU,Anvil EDC Pen Kits,8mm,Tube 2.647”
PKASTRAGD,Astra Golden Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRAAP,Astra Antique Pewter Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRACH,Astra Chrome Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKART5B,Broadwell Art Deco Gold TN and Chrome Ball Point Pen Kit,PKMAJSQBU,Broadwell Art Deco Pen Kits,3/8in,NOT FOUND
PKASTRAGM,Astra Gun Metal Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKASTRAAB,Astra Antique Brass Twist Pen Kit,PKASTRABU,Astra Pen Kits,3/8in,Tube 3.190”
PKATHPSC,Aromatherapy Satin Chrome Twist Pen Kit,PKPUTBU,Aromatherapy Pen Kits,10mm,Lower Tube 1.83”;Upper Tube 1.93”
PKAUTOAB,Semi Automatic Rifle Antique Brass Side Action Click Pen Kit,PKAUTOBU,Semi Automatic Rifle Pen Kits,10mm,Tube / Barrel 2.365”
PKAUTOAP,Semi Automatic Rifle Antique Pewter Side Action Click Pen Kit,PKAUTOBU,Semi Automatic Rifle Pen Kits,10mm,Tube / Barrel 2.365”
PKBCPCH,Breast Cancer Awareness Chrome with Pink Crystals Twist Pen Kit,PKBCPBU,Breast Cancer Awareness Pen Kits,3/8in;8mm,Lower Tube / Barrel 2-7/16”;Upper Tube / Barrel 1-3/4”
PKBIG,Big Ben Gold Twist Pen Kit,PKBIG-BU,Big Ben Cigar Pen Kits,10mm,"Upper Tube 1-15/16"";Lower Tube 2-1/16"""
